,0,1,2,3,4,5
0,https://music.163.com/song?id=516728102,浪子回头,市井人,市井人：哎呀，日推来的，越听越好听啊，从草东没有派对，听到老王乐队，在到茄子蛋，台湾这帮音乐人，水真是深啊。,2018年4月26日,(70287)
1,https://music.163.com/song?id=516728102,浪子回头,帐号已注销,帐号已注销：后来 我终于明白了你才是世界上对我最好的一个人的时候 我一回头 发现你已经不在了,2017年12月12日,(54769)
2,https://music.163.com/song?id=516728102,浪子回头,不合格憤青,"不合格憤青：你也别回来了,我有颈椎病,回头有害健康.",2018年4月18日,(47941)
3,https://music.163.com/song?id=516728102,浪子回头,之淅,之淅：推给同学，你口味真怪；推给兄弟，这歌真是对胃口。你说我朋友少，我是真的不需要那些不一起走的人。,2018年6月13日,(43020)
4,https://music.163.com/song?id=516728102,浪子回头,音乐人雾化剂,"音乐人雾化剂：浪子回头，回头再浪。
——朱炫 《年少荒唐》",2018年6月26日,(30051)
5,https://music.163.com/song?id=516728102,浪子回头,半朽树,半朽树：生活是屎一样的三明治。要么吃下去，要么饿死。,2018年5月26日,(26184)
6,https://music.163.com/song?id=516728102,浪子回头,SHUlISHUlI,"SHUlISHUlI：你冒险，你谁都不服。
你歌颂，你认真消遣。
怎么收场以后再谈，
你这年纪，
风月都好看，爱恨都浪漫。 ",2018年4月17日,(22318)
7,https://music.163.com/song?id=516728102,浪子回头,茄子蛋EggPlantEgg,茄子蛋EggPlantEgg：茄子蛋首张专辑《卡通人物》【逗阵来搏】小巡回 2018.01.10 深圳站 _ B10 2018.01.13 厦门站 _ REAL LIVE 2018.01.17 广州站 _ SD Livehouse 2018.01.20 珠海站 _ 樂坊 Livehouse https://www.weibo.com/eggplantegg,2017年12月6日,(21380)
8,https://music.163.com/song?id=516728102,浪子回头,得瑟猴几,得瑟猴几：翻唱是因为喜欢 我也喜欢原唱 我也用心唱了 没必要这样说我,2018年10月31日,(21023)
9,https://music.163.com/song?id=516728102,浪子回头,狗狗狗狗_Dog,狗狗狗狗_Dog：他是在说有一天老了带妻子一起，更希望的是少一些浪子，早点知道珍惜的可贵，不然并不一定有妹子乐意等你回头,2018年12月27日,(14406)
10,https://music.163.com/song?id=516728102,浪子回头,过去的就该忘记,过去的就该忘记：最近歌荒，这首歌真实救命稻草❤,2018年12月17日,(11437)
11,https://music.163.com/song?id=516728102,浪子回头,招着找_赵,招着找_赵：浪子老了，唯山河不变。,2018年9月20日,(8692)
12,https://music.163.com/song?id=516728102,浪子回头,帐号已注销,帐号已注销：你是浪子 别泊岸,2018年3月25日,(7620)
13,https://music.163.com/song?id=516728102,浪子回头,虾过练奶,虾过练奶：欲买桂花同载酒，终不似，少年游。,2018年12月13日,(7533)
14,https://music.163.com/song?id=516728102,浪子回头,屋顶的卡夫卡,屋顶的卡夫卡：深夜为这首歌泪流 自己手上的茧子一长时间接触水便会呈现出丑陋的样子 有写字留下的也有弹吉他留下的 可它却只属于我 看来生活也没饶过我 你每天都要做一件很简单的事 这件事在你生命里的感觉不会再有第二次 永远不要为难自己 这游戏人生 追逐不到快乐的游戏就趁早结束吧,2018年4月12日,(6907)
15,https://music.163.com/song?id=516728102,浪子回头,万里黄沙觅封侯,万里黄沙觅封侯：好了，现在你62岁了，一页白头什么感想[多多捂脸][多多捂脸][多多捂脸],刚刚,
16,https://music.163.com/song?id=516728102,浪子回头,半山残照,半山残照：闽南语鸭,刚刚,
17,https://music.163.com/song?id=516728102,浪子回头,Hey-amanda,Hey-amanda：哈？,刚刚,
18,https://music.163.com/song?id=516728102,浪子回头,闫清伟呢,闫清伟呢：对,1分钟前,
19,https://music.163.com/song?id=516728102,浪子回头,沫忆柚梓,沫忆柚梓：昏几gi几gi几gi嘞电 就几杯几杯几杯嘞搭 恰你唉体谅哇 哇酒量某厚，卖嘎挖葱康 洗刚几刚几刚几刚诶造 瓜几滴几滴几滴嘞老呜 屋几刚蓝龙老 chua某gia到定 龙注回头 清爱诶 口爱诶 烟倒诶 饼you 崩瘦诶 某聘诶 某引诶 饼you 滴康口滴漏卡哇两罐奥都卖 还你挖唉级心甘那狗塞 挖啵某几某mo某gia甘道底来巴,1分钟前,(1)
20,https://music.163.com/song?id=516728102,浪子回头,我是朱冰心,我是朱冰心：你只是没有碰上对的人,2分钟前,(1)
21,https://music.163.com/song?id=516728102,浪子回头,山河故人_y,山河故人_y：哈哈哈,2分钟前,
22,https://music.163.com/song?id=516728102,浪子回头,给不给干,给不给干：昏几gi几gi几gi嘞电 就几杯几杯几杯嘞搭 恰你唉体谅哇 哇酒量某厚，卖嘎挖葱康 洗刚几刚几刚几刚诶造 瓜几滴几滴几滴嘞老呜 屋几刚蓝龙老 chua某gia到定 龙注回头 清爱诶 口爱诶 烟倒诶 饼you 崩瘦诶 某聘诶 某引诶 饼you 滴康口滴漏卡哇两罐奥都卖 还你挖唉级心甘那狗塞 挖啵某几某mo某gia甘道底来巴,2分钟前,(2)
23,https://music.163.com/song?id=516728102,浪子回头,lekuan,lekuan：这是什么语,2分钟前,
24,https://music.163.com/song?id=516728102,浪子回头,略略略170702,略略略170702：1.11号 浪子在此回头,3分钟前,
25,https://music.163.com/song?id=516728102,浪子回头,我好想喜欢一个人,我好想喜欢一个人：已经不知道怎么去爱上一个人了,3分钟前,
26,https://music.163.com/song?id=516728102,浪子回头,Hloune,Hloune：取决于你怎么看。,4分钟前,
27,https://music.163.com/song?id=516728102,浪子回头,Hloune,Hloune：好。,4分钟前,
28,https://music.163.com/song?id=516728102,浪子回头,不许放屁,不许放屁：我需要一个皇家翻译，否则不会唱啊🙈,4分钟前,
29,https://music.163.com/song?id=516728102,浪子回头,宋熠辉,宋熠辉：我哪里知道啊，刚被怼完,5分钟前,
30,https://music.163.com/song?id=516728102,浪子回头,颠覆世界博你一笑,颠覆世界博你一笑：中国有14亿人口，网易云音乐有2亿用户，而你偏偏在这首歌的评论里面看到了我，然后你花了15秒钟来读我这一段话，你好 陌生人，。 愿你卡里有钱。车里有油。心里有爱。脚底有风。有空来重庆找我喝酒 管醉。。,5分钟前,(8)
31,https://music.163.com/song?id=516728102,浪子回头,宋熠辉,宋熠辉：,6分钟前,
32,https://music.163.com/song?id=516728102,浪子回头,有人从长安走来,有人从长安走来：,7分钟前,
33,https://music.163.com/song?id=516728102,浪子回头,笑笑小嗯哼,笑笑小嗯哼：生活还是没有放过我,7分钟前,
34,https://music.163.com/song?id=516728102,浪子回头,youyou大魔王_,youyou大魔王_：好好的歌 却被某软件毁了,7分钟前,
0,https://music.163.com/song?id=518781004,生僻字,陈柯宇K-KO,陈柯宇K-KO：新歌《荡然无存》，《直到遇见了你我只喜欢你》《最好的8090后》,2018年12月6日,回复
1,https://music.163.com/song?id=518781004,生僻字,陈柯宇K-KO,陈柯宇K-KO：以后再也不要“又又又又”了！“叒ruo四声”“叕zhuo二声”！这首歌里面包含了70多个生僻字！ 我不知道这首歌会不会火起来，但是真心希望这些传扬中国文化正能量的歌能被更多人听到！因为我们的国家现在真的很强大！我们作为黄皮肤的人，都应该骄傲的把头抬起！如果你觉得好听！分享给更多的人听吧！,2017年11月14日,(27.8万)
2,https://music.163.com/song?id=518781004,生僻字,毫无训练痕迹的胡寒冰,"毫无训练痕迹的胡寒冰：茕茕孑立：孤独的样子。
踽踽独行：孤零零地独自走着。形容非常孤独。
奉为圭臬：比喻把某些言论或事当成自己的准则。
绵绵瓜瓞：祝愿子孙昌盛，兴旺发达。
沆瀣一气：比喻臭味相投的人勾结在一起。
龙行龘龘：龙腾飞的样子。
不稂不莠：比喻后代不成才。
狖轭鼯轩：是形容及其灵巧的车马的一个词语。",2018年12月6日,(15万)
3,https://music.163.com/song?id=518781004,生僻字,单刀斩阔拓,单刀斩阔拓：这歌能逼死外国人,2018年12月5日,(11.5万)
4,https://music.163.com/song?id=518781004,生僻字,樛奺,"樛奺：魃魈魁鬾（bá xiāo kuí jì）
魑魅魍魉（chī mèi wǎng liǎng）
又双叒叕（yòu shuāng ruò zhuó）
火炎焱燚（huǒ yán yàn yì）
水沝淼㵘（shuǐ zhuī miǎo màn）
㙓（kuí）
茕茕孑立 （qióng qióng jié lì）
沆瀣一气（hàng xiè）
踽踽独行 （jǔ）醍醐灌顶（tí hú）",2018年12月6日,(10.5万)
5,https://music.163.com/song?id=518781004,生僻字,西楚-曹長卿,"西楚-曹長卿：“陟罚臧否”出自诸葛亮的《出师表》；
”茕茕孑立”出自李密的《陈情表》；
“沆瀣一气”出自钱易的《南部新书》；
“踽踽独行”出自张绎的《祭程伊川文》；
“醍醐灌顶”出自顾况的《行路难》；
“绵绵瓜瓞”出自《诗经》中的《棉》。",2018年12月8日,(84068)
6,https://music.163.com/song?id=518781004,生僻字,陈柯宇K-KO,陈柯宇K-KO：如果你是老师，就让你的学生们学会这首歌吧！大多数都是高考必考的词！一定会有用！,2018年12月11日,(76155)
7,https://music.163.com/song?id=518781004,生僻字,天妒我奉孝,天妒我奉孝：五千年有李唐风气，五千年有钟鸣鼎食，五千年有僧侣礼佛，五千年有道人牵鹤，五千年有口诛笔伐，五千年有弃笔从戎，五千年有将士利剑官宦智谋安邦定国战灭外敌不肯休！ 满腔热血付诸刀枪，一声长笑寄与笔毫，纵然有万人所向，不肯休志，纵然有口诛笔伐，不肯颓唐。 壮哉我华夏！,2018年12月6日,(50497)
8,https://music.163.com/song?id=518781004,生僻字,隔壁武大爷,隔壁武大爷：这首歌必须火🔥,2018年12月4日,(29980)
9,https://music.163.com/song?id=518781004,生僻字,HanJin被占用_,HanJin被占用_：有才华的歌手春天来了。,2018年12月4日,(21332)
10,https://music.163.com/song?id=518781004,生僻字,S执K念Y,S执K念Y：我们俩的名字只差一个字,2018年11月20日,(14937)
11,https://music.163.com/song?id=518781004,生僻字,一只面朝大海的猫1803,一只面朝大海的猫1803：要让我儿子学起来，我也学起来，一首涨知识的歌曲，关键还那么好听，希望多出一些弘扬中国文化的歌曲,2018年12月4日,(11489)
12,https://music.163.com/song?id=518781004,生僻字,游悠又在乱想,游悠又在乱想：一秒爱上！,2018年12月4日,(9787)
13,https://music.163.com/song?id=518781004,生僻字,用户1499478405,用户1499478405：悲喜自渡，他人难悟易误,2018年12月17日,(8312)
14,https://music.163.com/song?id=518781004,生僻字,-辰溪chenx,-辰溪chenx：第一次捉音乐人同城的？,2018年12月4日,(6764)
